InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Discount,PaymentMethod,ShippingCost,Category,SalesChannel,ReturnStatus,ShipmentProvider,WarehouseLocation,OrderPriority
206530,SKU_1266,Notebook,23,2020-01-04 03:00,24.56,14443.0,Sweden,0.32,paypall,14.23,Stationery,Online,Not Returned,Royal Mail,London,Low
704365,SKU_1528,Office Chair,14,2020-01-04 04:00,66.41,16761.0,United Kingdom,0.22,paypall,22.68,Furniture,Online,Not Returned,Royal Mail,Amsterdam,High
922352,SKU_1475,White Mug,49,2020-01-04 05:00,49.41,80434.0,United Kingdom,0.38,Bank Transfer,8.8,Stationery,In-store,Not Returned,Royal Mail,London,Low
560337,SKU_1951,Blue Pen,39,2020-01-04 06:00,36.99,83214.0,Belgium,0.38,paypall,20.06,Accessories,In-store,Not Returned,DHL,Rome,Medium
824839,SKU_1948,Blue Pen,7,2020-01-04 07:00,36.14,48511.0,United States,0.34,Bank Transfer,6.87,Furniture,In-store,Not Returned,UPS,Amsterdam,Medium
905889,SKU_1450,Backpack,35,2020-01-04 08:00,30.82,53228.0,Italy,0.03,Credit Card,8.87,Furniture,Online,Returned,FedEx,Paris,Low
559773,SKU_1897,Wireless Mouse,38,2020-01-04 09:00,81.28,42562.0,Sweden,0.18,paypall,27.77,Furniture,In-store,Not Returned,DHL,Amsterdam,High
308261,SKU_1284,Headphones,14,2020-01-04 10:00,36.13,96452.0,Italy,0.34,Credit Card,14.95,Apparel,In-store,Returned,DHL,Berlin,Low
864469,SKU_1312,USB Cable,17,2020-01-04 11:00,8.62,35193.0,Belgium,0.13,paypall,19.11,Stationery,Online,Not Returned,FedEx,Amsterdam,Low
441097,SKU_1161,T-shirt,7,2020-01-04 12:00,15.96,30966.0,United Kingdom,0.28,paypall,23.88,Electronics,Online,Not Returned,DHL,Paris,High
415139,SKU_1589,USB Cable,20,2020-01-04 13:00,49.92,62514.0,Germany,0.4,Bank Transfer,8.34,Electronics,Online,Not Returned,Royal Mail,Rome,Low
271829,SKU_1121,T-shirt,34,2020-01-04 14:00,13.63,61596.0,Norway,0.08,Bank Transfer,24.2,Stationery,Online,Not Returned,DHL,Berlin,Low
371836,SKU_1480,T-shirt,30,2020-01-04 15:00,83.42,62583.0,United Kingdom,0.45,Bank Transfer,5.92,Electronics,Online,Not Returned,UPS,Paris,Low
538974,SKU_1111,Wireless Mouse,40,2020-01-04 16:00,91.57,82963.0,Norway,0.35,paypall,29.97,Accessories,In-store,Not Returned,FedEx,London,High
302283,SKU_1238,T-shirt,13,2020-01-04 17:00,7.54,89681.0,Belgium,0.38,Credit Card,26.46,Stationery,In-store,Not Returned,Royal Mail,Rome,Low
296769,SKU_1209,White Mug,6,2020-01-04 18:00,87.27,79200.0,Belgium,0.08,paypall,22.59,Electronics,Online,Not Returned,DHL,Paris,Low
661353,SKU_1348,White Mug,27,2020-01-04 19:00,68.95,28796.0,United States,0.45,Bank Transfer,18.1,Stationery,Online,Not Returned,UPS,Amsterdam,Medium
323165,SKU_1510,Backpack,18,2020-01-04 20:00,33.22,76428.0,France,0.22,Bank Transfer,24.77,Stationery,Online,Not Returned,Royal Mail,Rome,Medium
723587,SKU_1001,Blue Pen,24,2020-01-04 21:00,25.98,46156.0,Italy,0.13,Bank Transfer,16.68,Furniture,Online,Not Returned,FedEx,Amsterdam,Medium
635822,SKU_1891,Office Chair,32,2020-01-04 22:00,41.15,97271.0,United Kingdom,0.4,Credit Card,7.7,Accessories,Online,Not Returned,DHL,Berlin,High
587879,SKU_1714,Wall Clock,39,2020-01-04 23:00,60.36,90167.0,Sweden,0.07,Bank Transfer,24.41,Apparel,In-store,Not Returned,UPS,Rome,High
664685,SKU_1798,Backpack,26,2020-01-05 00:00,24.81,95325.0,Germany,0.4,Credit Card,26.82,Apparel,In-store,Returned,Royal Mail,Rome,Medium
882038,SKU_1628,White Mug,34,2020-01-05 01:00,88.14,41384.0,Netherlands,0.07,Bank Transfer,12.45,Furniture,Online,Not Returned,UPS,London,High
453531,SKU_1880,Wall Clock,21,2020-01-05 02:00,3.75,84562.0,Portugal,0.02,Bank Transfer,16.33,Electronics,In-store,Not Returned,DHL,Berlin,Low
363160,SKU_1460,USB Cable,28,2020-01-05 03:00,7.96,97931.0,Portugal,0.35,Bank Transfer,6.64,Furniture,Online,Not Returned,FedEx,London,Low
679879,SKU_1811,Backpack,5,2020-01-05 04:00,48.24,14493.0,Belgium,0.18,paypall,6.68,Stationery,Online,Not Returned,DHL,Amsterdam,Medium
320884,SKU_1894,Office Chair,42,2020-01-05 05:00,34.93,71731.0,France,0.41,paypall,17.4,Accessories,Online,Not Returned,Royal Mail,London,High
123247,SKU_1857,T-shirt,18,2020-01-05 06:00,31.83,60583.0,France,0.42,Credit Card,27.47,Apparel,Online,Returned,FedEx,Paris,High
124300,SKU_1951,Headphones,8,2020-01-05 07:00,46.19,,Norway,0.1,Bank Transfer,12.81,Stationery,In-store,Not Returned,UPS,,High
567281,SKU_1481,T-shirt,43,2020-01-05 08:00,57.77,97562.0,United States,0.1,Credit Card,11.1,Furniture,Online,Not Returned,FedEx,Amsterdam,Low
707086,SKU_1949,Notebook,48,2020-01-05 09:00,15.68,90838.0,Portugal,0.23,Credit Card,8.83,Apparel,In-store,Not Returned,DHL,London,High
633556,SKU_1948,USB Cable,34,2020-01-05 10:00,85.06,64838.0,United Kingdom,0.01,Bank Transfer,29.98,Accessories,In-store,Not Returned,DHL,Amsterdam,Medium
448951,SKU_1625,White Mug,22,2020-01-05 11:00,35.03,30725.0,France,0.24,Bank Transfer,8.25,Furniture,Online,Not Returned,DHL,Amsterdam,Low
374329,SKU_1585,Blue Pen,23,2020-01-05 12:00,49.73,59407.0,Italy,0.31,Credit Card,26.62,Electronics,Online,Not Returned,Royal Mail,Rome,High
819064,SKU_1971,Headphones,9,2020-01-05 13:00,57.1,90824.0,Sweden,0.01,Bank Transfer,11.88,Accessories,Online,Not Returned,Royal Mail,Amsterdam,Low
842139,SKU_1240,Wireless Mouse,27,2020-01-05 14:00,65.17,96508.0,Norway,0.12,paypall,28.59,Apparel,In-store,Returned,UPS,Rome,High
532315,SKU_1981,Backpack,14,2020-01-05 15:00,12.16,70672.0,Norway,0.2,Bank Transfer,12.57,Apparel,In-store,Not Returned,FedEx,Amsterdam,Medium
616588,SKU_1813,USB Cable,20,2020-01-05 16:00,84.61,19020.0,Norway,0.26,Bank Transfer,11.7,Stationery,In-store,Not Returned,FedEx,Paris,High
336584,SKU_1053,Notebook,26,2020-01-05 17:00,7.36,90743.0,Germany,0.05,paypall,29.14,Apparel,In-store,Not Returned,UPS,London,Low
662332,SKU_1670,Wireless Mouse,41,2020-01-05 18:00,22.68,64659.0,Netherlands,0.15,Bank Transfer,20.14,Stationery,Online,Not Returned,FedEx,Berlin,Medium
937646,SKU_1466,Wireless Mouse,7,2020-01-05 19:00,10.74,90633.0,United Kingdom,0.44,Bank Transfer,17.3,Accessories,In-store,Not Returned,DHL,Rome,Low
476896,SKU_1108,Blue Pen,24,2020-01-05 20:00,76.55,54727.0,United States,0.0,paypall,8.27,Accessories,Online,Not Returned,UPS,London,Medium
148984,SKU_1279,White Mug,9,2020-01-05 21:00,71.63,10961.0,Belgium,0.47,Bank Transfer,19.95,Apparel,In-store,Not Returned,UPS,London,High
402918,SKU_1664,Blue Pen,43,2020-01-05 22:00,30.59,66873.0,Belgium,0.2,paypall,10.32,Stationery,Online,Returned,UPS,London,High
364712,SKU_1674,Office Chair,7,2020-01-05 23:00,78.42,25714.0,Norway,0.05,Bank Transfer,26.71,Stationery,Online,Not Returned,DHL,Rome,Low
220151,SKU_1056,Wireless Mouse,37,2020-01-06 00:00,91.0,33058.0,Italy,0.42,paypall,11.14,Apparel,In-store,Not Returned,Royal Mail,Paris,High
555808,SKU_1839,Notebook,4,2020-01-06 01:00,19.27,83367.0,France,0.07,Credit Card,25.98,Accessories,Online,Not Returned,DHL,Amsterdam,Low
233767,SKU_1836,Wall Clock,11,2020-01-06 02:00,37.38,15608.0,Sweden,0.02,Credit Card,8.95,Electronics,In-store,Not Returned,FedEx,Amsterdam,Low
748663,SKU_1213,Headphones,4,2020-01-06 03:00,53.39,49169.0,Netherlands,0.5,Bank Transfer,8.56,Furniture,Online,Not Returned,FedEx,Berlin,Medium
803550,SKU_1507,White Mug,28,2020-01-06 04:00,31.18,70906.0,Spain,0.38,Bank Transfer,6.1,Stationery,In-store,Not Returned,Royal Mail,Berlin,High
236330,SKU_1027,Backpack,49,2020-01-06 05:00,66.8,39946.0,Netherlands,0.36,Bank Transfer,11.84,Stationery,Online,Not Returned,FedEx,Rome,High
580754,SKU_1203,Wall Clock,27,2020-01-06 06:00,83.54,67934.0,Netherlands,0.33,Credit Card,9.51,Stationery,In-store,Not Returned,DHL,London,Medium
401648,SKU_1544,Headphones,17,2020-01-06 07:00,73.34,30303.0,Norway,0.23,paypall,9.78,Furniture,In-store,Not Returned,Royal Mail,London,Medium
788519,SKU_1308,Notebook,40,2020-01-06 08:00,94.43,62272.0,United States,0.29,paypall,10.59,Apparel,In-store,Not Returned,Royal Mail,Rome,Low
113986,SKU_1633,T-shirt,6,2020-01-06 09:00,39.39,43069.0,United Kingdom,0.29,Bank Transfer,9.85,Electronics,In-store,Not Returned,DHL,Rome,Medium
686146,SKU_1527,USB Cable,17,2020-01-06 10:00,19.05,25812.0,France,0.02,Bank Transfer,11.25,Accessories,In-store,Not Returned,Royal Mail,Rome,Low
229312,SKU_1665,Headphones,43,2020-01-06 11:00,87.12,78376.0,Germany,0.45,Bank Transfer,18.17,Electronics,In-store,Not Returned,UPS,London,Low
112666,SKU_1907,T-shirt,12,2020-01-06 12:00,98.82,63965.0,Germany,0.25,paypall,5.34,Apparel,In-store,Not Returned,FedEx,Rome,High
400804,SKU_1342,Desk Lamp,40,2020-01-06 13:00,45.27,58575.0,France,0.08,paypall,21.25,Apparel,In-store,Not Returned,UPS,Berlin,Low
234633,SKU_1217,White Mug,1,2020-01-06 14:00,19.89,55924.0,Australia,0.28,Bank Transfer,13.87,Stationery,Online,Not Returned,FedEx,Paris,High
388998,SKU_1616,Desk Lamp,29,2020-01-06 15:00,29.51,52354.0,Australia,0.43,paypall,19.15,Accessories,In-store,Not Returned,UPS,Berlin,Medium
950937,SKU_1588,Wall Clock,26,2020-01-06 16:00,44.69,78432.0,France,0.46,Bank Transfer,21.57,Electronics,In-store,Not Returned,Royal Mail,London,Low
728776,SKU_1086,Wall Clock,8,2020-01-06 17:00,14.92,75894.0,France,0.16,Bank Transfer,14.11,Accessories,Online,Not Returned,DHL,Rome,Medium
807611,SKU_1030,T-shirt,30,2020-01-06 18:00,39.72,18762.0,Portugal,0.08,paypall,14.4,Stationery,Online,Not Returned,FedEx,Paris,High
384806,SKU_1099,Notebook,30,2020-01-06 19:00,69.96,15347.0,France,0.27,paypall,18.7,Stationery,Online,Not Returned,DHL,Amsterdam,High
894824,SKU_1666,Office Chair,4,2020-01-06 20:00,52.48,60989.0,Spain,0.37,paypall,29.12,Apparel,In-store,Not Returned,DHL,London,High
130535,SKU_1803,White Mug,24,2020-01-06 21:00,78.64,53955.0,Australia,0.06,paypall,8.97,Stationery,In-store,Not Returned,UPS,Rome,High
475713,SKU_1314,Wall Clock,26,2020-01-06 22:00,11.49,83421.0,France,0.21,Credit Card,18.94,Apparel,Online,Not Returned,DHL,Paris,Medium
938688,SKU_1494,Desk Lamp,8,2020-01-06 23:00,84.06,62215.0,Sweden,0.25,Credit Card,13.35,Stationery,Online,Not Returned,UPS,Paris,Medium
451279,SKU_1617,Wall Clock,-2,2020-01-07 00:00,34.06,,Spain,0.34,Credit Card,,Furniture,Online,Not Returned,DHL,,Medium
921654,SKU_1470,Blue Pen,18,2020-01-07 01:00,36.0,24841.0,Netherlands,0.16,Credit Card,17.99,Accessories,In-store,Not Returned,FedEx,Rome,High
701661,SKU_1741,Desk Lamp,34,2020-01-07 02:00,59.68,25661.0,Norway,0.34,Credit Card,15.93,Stationery,Online,Not Returned,DHL,London,Medium
747972,SKU_1514,Desk Lamp,-26,2020-01-07 03:00,-72.33,,Netherlands,1.9720865379714598,paypall,,Electronics,In-store,Not Returned,Royal Mail,,Low
589570,SKU_1733,Wall Clock,40,2020-01-07 04:00,16.31,72722.0,Italy,0.3,Credit Card,6.51,Apparel,Online,Not Returned,DHL,Paris,Medium
556551,SKU_1632,USB Cable,9,2020-01-07 05:00,3.0,37447.0,Spain,0.41,Credit Card,5.01,Accessories,In-store,Not Returned,DHL,Berlin,Medium
373109,SKU_1671,White Mug,20,2020-01-07 06:00,28.4,44898.0,Netherlands,0.49,Credit Card,28.77,Electronics,Online,Not Returned,UPS,Amsterdam,Medium
124538,SKU_1782,T-shirt,40,2020-01-07 07:00,33.55,48163.0,Australia,0.28,Bank Transfer,10.63,Furniture,In-store,Not Returned,UPS,Rome,Low
994498,SKU_1997,Headphones,47,2020-01-07 08:00,16.09,25641.0,Italy,0.42,Credit Card,6.17,Electronics,In-store,Returned,Royal Mail,Berlin,Low
301664,SKU_1330,White Mug,46,2020-01-07 09:00,76.94,96058.0,United Kingdom,0.04,Credit Card,25.4,Electronics,In-store,Not Returned,FedEx,Berlin,Medium
591234,SKU_1193,Wall Clock,2,2020-01-07 10:00,65.92,73431.0,Sweden,0.46,Credit Card,13.12,Furniture,Online,Not Returned,UPS,Berlin,High
999684,SKU_1729,Blue Pen,43,2020-01-07 11:00,21.13,10263.0,Sweden,0.07,Bank Transfer,12.09,Accessories,In-store,Not Returned,Royal Mail,Berlin,High
239182,SKU_1190,T-shirt,39,2020-01-07 12:00,16.36,97116.0,Italy,0.02,paypall,24.95,Furniture,In-store,Not Returned,Royal Mail,Paris,Medium
572525,SKU_1251,Wall Clock,21,2020-01-07 13:00,49.16,40318.0,Portugal,0.36,Credit Card,25.76,Furniture,In-store,Not Returned,DHL,Amsterdam,Low
258338,SKU_1737,Blue Pen,14,2020-01-07 14:00,85.66,99357.0,United Kingdom,0.02,Bank Transfer,7.49,Electronics,Online,Not Returned,UPS,Amsterdam,Medium
284064,SKU_1000,Blue Pen,30,2020-01-07 15:00,38.2,35788.0,France,0.42,Bank Transfer,19.99,Stationery,In-store,Not Returned,UPS,Berlin,Low
314020,SKU_1458,White Mug,42,2020-01-07 16:00,63.34,27891.0,United States,0.42,paypall,10.89,Accessories,Online,Not Returned,DHL,London,Medium
723094,SKU_1644,Blue Pen,46,2020-01-07 17:00,23.1,11617.0,United States,0.0,paypall,27.63,Furniture,In-store,Not Returned,Royal Mail,Rome,Low
997421,SKU_1089,Notebook,17,2020-01-07 18:00,90.61,53537.0,Italy,0.18,paypall,14.91,Furniture,Online,Not Returned,Royal Mail,Paris,High
715270,SKU_1517,T-shirt,33,2020-01-07 19:00,81.72,99835.0,Portugal,0.29,Bank Transfer,15.35,Stationery,In-store,Not Returned,UPS,Paris,Medium
745914,SKU_1482,White Mug,11,2020-01-07 20:00,83.38,60352.0,Spain,0.35,Credit Card,21.57,Electronics,Online,Returned,DHL,Berlin,Medium
